1,"Apple MacBook Pro 13.3"" (2022) Retina Display (M2/8GB/256GB SSD) ",1,1,0,1,1,2
2,"Apple MacBook Air 13.3"" (2020) IPS Retina Display (M1/8GB/256GB SSD) Air 13.3",1,3,100,3,107,1
3,"Apple MacBook Pro 16",1,2,102,4,105,3
4,"Lenovo IdeaPad 5 Pro 16ACH6 16"" IPS 120Hz (Ryzen 9-5900HX/32GB/1TB SSD/GeForce RTX 3050/W11 Home)",1,2,101,2,104,4
5,"Dell Vostro 3910 MT Desktop PC (i7-12700/16GB DDR4/512GB SSD/W10 Pro)",2,5,106,2,118,3
6,"HP Pro Tower 290 G9 Desktop PC (i3-12100/8GB DDR4/256GB SSD/W11 Pro) 6B2X1EA",2,3,103,5,106,2
7,"Dell Inspiron 3020 Desktop PC (i5-13400/16GB DDR4/512GB SSD/W11 Pro)",2,4,108,3,129,7
8,"Lenovo ThinkCentre Neo 50s Desktop PC (i5-12400/8GB DDR4/256GB SSD/W11 Pro)",2,1,109,4,111,9
9,"Apple iPad Pro 2022 12.9"" με WiFi (8GB/128GB)",3,5,110,2,114,6
10,"Apple iPad Pro 2022 11"" με WiFi (8GB/128GB)",3,1,112,1,113,6
11,"Samsung Galaxy Tab A8 10.5"" με WiFi (4GB/64GB)",3,2,125,5,130,5
12,"Xiaomi Redmi Pad 10.61""  WiFi (4GB/128GB)",3,3,126,3,127,0
13,"Xiaomi 13 5G Dual SIM (8GB/256GB)",4,1,115,2,128,8
14,"Samsung Galaxy S23+ 5G Dual SIM (8GB/256GB)",4,2,126,5,116,9
15,"Apple iPhone 15 5G (6GB/256GB)",4,5,122,1,100,3
16,"Huawei P60 Pro Dual SIM (8GB/256GB)",4,3,124,3,101,1
17,"Polycom Trio 8800",5,3,121,3,119,2
18,"Cisco IP Conference Phone 8832",5,4,120,4,123,7
19,"Yealink CP960",5,1,117,1,131,5
20,"Avaya B179",5,4,104,4,127,8
21,"Dell Ultrasharp U2720Q",6,1,106,3,101,3
22,"ASUS ProArt PA278QV",6,2,128,2,129,6
23,"LG 27GL83A-B",6,4,103,4,112,1
24,"BenQ PD2700U",6,3,108,4,118,9
25,test,3,3,100,3,1,1
